Model,kWh Per Mile,Cobalt Content (kg),CO2 Cost (kg)
ARIYA ENGAGE FWD 63kWh,0.3336633663366337,14.804999999999998,159.89399999999998
ARIYA EVOLVE+/EMPOWER+/VENTURE+ FWD 87kWh,0.33532338308457715,20.429999999999996,220.64399999999998
ARIYA PLATINUM+ e-4ORCE 87kWh,0.3807909604519774,20.429999999999996,220.64399999999998
LEAF,0.3036036036036036,9.0,97.2
LEAF SV,0.30917431192660555,13.499999999999998,145.79999999999998
Polestar 2 Dual Motor,0.32403846153846155,17.325,187.11
Polestar 2 Dual Motor Performance Pack,0.3547368421052632,17.325,187.11
Polestar 2 Single Motor,0.29823008849557525,18.224999999999998,196.82999999999998
Macan  Electric,0.35661375661375666,31.522499999999997,340.443
Taycan 4S Cross Turismo,0.43205128205128207,24.682499999999997,266.57099999999997
Taycan 4S Perf Battery/Plus,0.4160493827160494,24.525,264.87
Taycan Cross Turismo,0.4348387096774194,24.525,264.87
Taycan GTS Sport Turismo,0.4134969325153375,24.525,264.87
Taycan Perf Battery/Plus,0.4084848484848485,24.525,264.87
Taycan Turbo/Turbo S,0.43205128205128207,24.525,264.87
R1S All-Terrain Quad Large (20in),0.534920634920635,32.4,349.92
R1S Dual,0.47132867132867134,32.4,349.92
R1S Dual Max,0.4348387096774194,33.6825,363.771
R1S Quad Large,0.4992592592592593,32.4,349.92
R1T Dual,0.47132867132867134,32.4,349.92
R1T Dual Max,0.42929936305732486,33.6825,363.771
R1T Quad Large,0.49558823529411766,32.4,349.92
Black Badge Spectre,0.44635761589403977,23.624999999999996,255.14999999999998
Spectre,0.4348387096774194,23.624999999999996,255.14999999999998
Solterra,0.32718446601941753,16.2,174.96
Model 3 Long Range AWD,0.2785123966942149,18.314999999999998,197.802
Model 3 Long Range AWD-E,0.26328125,18.314999999999998,197.802
Model 3 RWD,0.2505576208178439,13.545,146.286
Model S ,0.2762295081967213,23.49,253.692
Model S Plaid,0.33201970443349754,23.624999999999996,255.14999999999998
Model X,0.3547368421052632,23.624999999999996,255.14999999999998
Model Y Long Range AWD-I,0.2855932203389831,18.765,202.662
Model Y Performance/Long Range AWD,0.3036036036036036,18.765,202.662
Model Y RWD,0.2808333333333334,14.962499999999999,161.595
bZ4X,0.2917748917748918,16.065,173.50200000000004
bZ4X AWD,0.32718446601941753,16.38,176.904
VF 9 Eco/Plus,0.4680555555555556,20.924999999999997,225.98999999999998
ID.4 AWD Pro/Pro S,0.33039215686274515,18.224999999999998,196.82999999999998
ID.4/S/Pro S,0.3063636363636364,18.224999999999998,196.82999999999998
C40/XC40 Recharge,0.3164319248826291,17.325,187.11
C40/XC40 Recharge Twin,0.3421319796954315,17.325,187.11
